編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
381,嘉義縣政府新聞行銷處-最新訊息-公告資訊,嘉義縣政府,嘉義縣政府,,,,18,227,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
382,嘉義縣政府新聞行銷處-業務項目-資訊公開專區,嘉義縣政府,嘉義縣政府,,,,18,180,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
383,嘉義縣政府新聞行銷處-便民服務-檔案下載,嘉義縣政府,嘉義縣政府,,,,21,230,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
384,嘉義縣政府新聞行銷處-交安宣導-交通安全宣導區,嘉義縣政府,嘉義縣政府,,,,22,207,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
385,嘉義縣政府新聞行銷處-Q&A,嘉義縣政府,嘉義縣政府,,,,21,175,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
386,嘉義縣政府新聞行銷處-LINE及文宣專區-文宣專區,嘉義縣政府,嘉義縣政府,,,,19,215,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
387,嘉義縣政府新聞行銷處-最新訊息-徵才資訊,嘉義縣政府,嘉義縣政府,,,,19,182,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
388,嘉義縣政府新聞行銷處-便民服務-便民服務,嘉義縣政府,嘉義縣政府,,,,24,176,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
389,嘉義縣政府新聞行銷處-交安宣導-公開資料,嘉義縣政府,嘉義縣政府,,,,16,191,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
390,嘉義縣政府新聞行銷處-交安宣導-檔案文宣,嘉義縣政府,嘉義縣政府,,,,18,171,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
391,嘉義縣政府新聞行銷處-交安宣導-宣導影片,嘉義縣政府,嘉義縣政府,,,,18,181,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
392,嘉義縣政府農業處-最新訊息-新聞資訊,嘉義縣政府,嘉義縣政府,,,,18,223,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
393,嘉義縣政府農業處-最新訊息-公告資訊,嘉義縣政府,嘉義縣政府,,,,24,205,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
394,嘉義縣政府農業處-最新訊息-徵才資訊,嘉義縣政府,嘉義縣政府,,,,33,286,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
395,嘉義縣政府農業處-最新訊息-活動資訊,嘉義縣政府,嘉義縣政府,,,,16,196,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
396,嘉義縣政府農業處-業務項目-資訊公開專區,嘉義縣政府,嘉義縣政府,,,,20,146,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
397,嘉義縣政府農業處-相關網站,嘉義縣政府,嘉義縣政府,,,,19,191,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
398,嘉義縣政府農業處-便民服務-檔案下載,嘉義縣政府,嘉義縣政府,,,,20,202,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
399,嘉義縣政府農業處-便民服務-服務項目,嘉義縣政府,嘉義縣政府,,,,12,164,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
400,嘉義縣政府政風處-最新資訊-新聞資訊,嘉義縣政府,嘉義縣政府,,,,19,148,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
401,嘉義縣政府政風處-最新資訊-公告資訊,嘉義縣政府,嘉義縣政府,,,,16,162,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
402,嘉義縣政府政風處-最新資訊-徵才資訊,嘉義縣政府,嘉義縣政府,,,,13,189,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
403,嘉義縣政府政風處-最新資訊-活動資訊,嘉義縣政府,嘉義縣政府,,,,27,189,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
404,嘉義縣政府政風處-法令公告,嘉義縣政府,嘉義縣政府,,,,17,192,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
405,嘉義縣政府政風處-業務項目-資訊公開,嘉義縣政府,嘉義縣政府,,,,18,191,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
406,嘉義縣政府政風處-業務項目-廉政會報專區,嘉義縣政府,嘉義縣政府,,,,36,367,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
407,嘉義縣政府政風處-業務項目-內部控制專區,嘉義縣政府,嘉義縣政府,,,,20,186,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
408,嘉義縣政府政風處-業務項目-請託關說登錄資料專區,嘉義縣政府,嘉義縣政府,,,,16,171,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
